COD_NUTS;Designacao;Preco_m2_4T2024;Salario_Minimo_2024;Salario_Medio_Nacional_2024;Racio_Salario_Minimo_por_m2;Racio_Salario_Medio_por_m2
1931008;Figueiró dos Vinhos;335.0;820.0;1600.0;0.41;0.21
11E;Terras de Trás-os-Montes;329.0;820.0;1600.0;0.4;0.21
1C31204;Campo Maior;331.0;820.0;1600.0;0.4;0.21
11B1713;Vila Pouca de Aguiar;316.0;820.0;1600.0;0.39;0.2
1C31208;Fronteira;320.0;820.0;1600.0;0.39;0.2
1190304;Cabeceiras de Basto;319.0;820.0;1600.0;0.39;0.2
1191705;Mondim de Basto;313.0;820.0;1600.0;0.38;0.2
1931013;Pedrógão Grande;309.0;820.0;1600.0;0.38;0.19
1C3;Alto Alentejo;310.0;820.0;1600.0;0.38;0.19
1C20212;Ourique;313.0;820.0;1600.0;0.38;0.2
11C0305;Celorico de Basto;300.0;820.0;1600.0;0.37;0.19
11C1302;Baião;304.0;820.0;1600.0;0.37;0.19
1960501;Belmonte;300.0;820.0;1600.0;0.37;0.19
1C40709;Portel;302.0;820.0;1600.0;0.37;0.19
1C31205;Castelo de Vide;306.0;820.0;1600.0;0.37;0.19
1950508;Proença-a-Nova;300.0;820.0;1600.0;0.37;0.19
11D1805;Lamego;300.0;820.0;1600.0;0.37;0.19
1C20210;Moura;300.0;820.0;1600.0;0.37;0.19
1190311;Vieira do Minho;278.0;820.0;1600.0;0.34;0.17
11E0405;Macedo de Cavaleiros;278.0;820.0;1600.0;0.34;0.17
196;Beiras e Serra da Estrela;275.0;820.0;1600.0;0.34;0.17
1C20208;Ferreira do Alentejo;278.0;820.0;1600.0;0.34;0.17
1941803;Castro Daire;278.0;820.0;1600.0;0.34;0.17
11D1708;Peso da Régua;275.0;820.0;1600.0;0.34;0.17
1920611;Oliveira do Hospital;281.0;820.0;1600.0;0.34;0.18
11D1701;Alijó;272.0;820.0;1600.0;0.33;0.17
1C31215;Sousel;270.0;820.0;1600.0;0.33;0.17
1960912;Seia;269.0;820.0;1600.0;0.33;0.17
1920601;Arganil;268.0;820.0;1600.0;0.33;0.17
11D1710;Sabrosa;274.0;820.0;1600.0;0.33;0.17
11D1704;Mesão Frio;270.0;820.0;1600.0;0.33;0.17
1941821;Tondela;263.0;820.0;1600.0;0.32;0.16
1D21417;Sardoal;262.0;820.0;1600.0;0.32;0.16
1941806;Mangualde;264.0;820.0;1600.0;0.32;0.16
1931003;Ansião;262.0;820.0;1600.0;0.32;0.16
11B1712;Valpaços;265.0;820.0;1600.0;0.32;0.17
11D;Douro;260.0;820.0;1600.0;0.32;0.16
1941817;Sátão;266.0;820.0;1600.0;0.32;0.17
11C1813;Resende;254.0;820.0;1600.0;0.31;0.16
195;Beira Baixa;256.0;820.0;1600.0;0.31;0.16
1920606;Góis;251.0;820.0;1600.0;0.31;0.16
1500802;Alcoutim;250.0;820.0;1600.0;0.3;0.16
1C31201;Alter do Chão;250.0;820.0;1600.0;0.3;0.16
1920613;Penacova;248.0;820.0;1600.0;0.3;0.16
1920616;Tábua;244.0;820.0;1600.0;0.3;0.15
1931007;Castanheira de Pêra;250.0;820.0;1600.0;0.3;0.16
1C20202;Almodôvar;243.0;820.0;1600.0;0.3;0.15
1950506;Oleiros;234.0;820.0;1600.0;0.29;0.15
1941802;Carregal do Sal;238.0;820.0;1600.0;0.29;0.15
1960909;Mêda;238.0;820.0;1600.0;0.29;0.15
11D0403;Carrazeda de Ansiães;238.0;820.0;1600.0;0.29;0.15
1931002;Alvaiázere;232.0;820.0;1600.0;0.28;0.14
11B1706;Montalegre;222.0;820.0;1600.0;0.27;0.14
1941824;Vouzela;219.0;820.0;1600.0;0.27;0.14
1C31211;Monforte;225.0;820.0;1600.0;0.27;0.14
1111603;Melgaço;212.0;820.0;1600.0;0.26;0.13
1941822;Vila Nova de Paiva;216.0;820.0;1600.0;0.26;0.14
1960906;Gouveia;211.0;820.0;1600.0;0.26;0.13
11D0914;Vila Nova de Foz Côa;217.0;820.0;1600.0;0.26;0.14
1C31212;Nisa;217.0;820.0;1600.0;0.26;0.14
2004401;Santa Cruz da Graciosa;209.0;820.0;1600.0;0.25;0.13
1C20209;Mértola;208.0;820.0;1600.0;0.25;0.13
11D1807;Moimenta da Beira;209.0;820.0;1600.0;0.25;0.13
11E0401;Alfândega da Fé;206.0;820.0;1600.0;0.25;0.13
11D1711;Santa Marta de Penaguião;200.0;820.0;1600.0;0.24;0.12
1960908;Manteigas;200.0;820.0;1600.0;0.24;0.12
1C31206;Crato;200.0;820.0;1600.0;0.24;0.12
1C31210;Marvão;200.0;820.0;1600.0;0.24;0.12
11B1709;Ribeira de Pena;198.0;820.0;1600.0;0.24;0.12
11D1815;São João da Pesqueira;200.0;820.0;1600.0;0.24;0.12
11C1804;Cinfães;189.0;820.0;1600.0;0.23;0.12
11D0404;Freixo de Espada à Cinta;190.0;820.0;1600.0;0.23;0.12
11E0408;Mogadouro;177.0;820.0;1600.0;0.22;0.11
1940901;Aguiar da Beira;178.0;820.0;1600.0;0.22;0.11
1C31209;Gavião;179.0;820.0;1600.0;0.22;0.11
11E0411;Vimioso;180.0;820.0;1600.0;0.22;0.11
1960903;Celorico da Beira;184.0;820.0;1600.0;0.22;0.12
11E0406;Miranda do Douro;176.0;820.0;1600.0;0.21;0.11
11E0412;Vinhais;171.0;820.0;1600.0;0.21;0.11
1920612;Pampilhosa da Serra;175.0;820.0;1600.0;0.21;0.11
1941811;Penalva do Castelo;175.0;820.0;1600.0;0.21;0.11
1960910;Pinhel;171.0;820.0;1600.0;0.21;0.11
11D1707;Murça;167.0;820.0;1600.0;0.2;0.1
